CustomerID,NationalID,FullName,DateOfBirth,Gender,Employer,EmploymentType,TotalInflows,TotalOutflows,AverageMonthlyInflows,AverageMonthlyOutflows,NetPosition,MonthlySalaryDeducted
1,14054453898,Rima Al-Saud,10/28/76,F,Al Rajhi Bank,Salaried,82347,65662.16,6862.25,5471.85,16684.84,29325
2,15029382524,Rima bint Hamad Al-Qahtani,3/3/67,F,SABIC,Salaried,106547,64884.6,8878.92,5407.05,41662.4,20102
3,13709755398,Rima Al-Najem,9/14/88,F,Bank AlJazira,Salaried,128079,95728.96,10673.25,7977.41,32350.04,32600
4,17080658216,Fatimah Al-Amri,3/12/84,F,SABIC,Salaried,82777,55247.74,6898.08,4603.98,27529.26,22585
5,14169385738,Nawal Al-Otaibi,3/11/62,F,SABIC,Salaried,122183,95028.01,10181.92,7919,27154.99,37982
6,12440552205,Nora bint Nasser Al-Mutairi,6/25/62,F,Al Rajhi Bank,Salaried,138184,83585.5,11515.33,6965.46,54598.5,39917
7,11863941173,Suad Al-Shammari,10/6/80,F,Saudi Aramco,Salaried,92351,61813.79,7695.92,5151.15,30537.21,32519
8,15447241995,Nawal Al-Mutairi,7/21/64,F,Bank AlJazira,Salaried,133658,81929.22,11138.17,6827.43,51728.78,22804
9,13288522404,Khalil bin Majed Al-Saleh,7/27/77,M,Self-Employed,Self-Employed,124151,89872.15,10345.92,7489.35,34278.85,27442
10,17430419523,Ahmed bin Saleh Al-Harthy,7/14/78,M,STC,Salaried,129936,96323.97,10828,8027,33612.03,33520
11,11744242329,Razan bint Majed Al-Harbi,4/21/95,F,SABIC,Salaried,49320,35211.31,4110,2934.28,14108.69,10432
12,11105216684,Jaber bin Saleh Al-Qahtani,8/8/61,M,Saudi Aramco,Salaried,71821,50527.69,5985.08,4210.64,21293.31,12563
13,18901766098,Samira bin Majed Al-Harthy,12/9/89,F,SABIC,Salaried,49031,35428.85,4085.92,2952.4,13602.15,15043
14,16706584181,Rania Al-Amri,9/3/65,F,Self-Employed,Self-Employed,33009,25173.86,2750.75,2097.82,7835.14,13786
15,18734638669,Fahad bin Yahya Al-Harbi,7/13/79,M,Self-Employed,Self-Employed,39875,34614.74,3322.92,2884.56,5260.26,16085
16,18178672265,Talal bin Zaid Al-Mutairi,3/1/59,M,Bank AlJazira,Salaried,31524,23085.26,2627,1923.77,8438.74,12403
17,11291926248,Latifa Al-Shammari,4/24/56,F,STC,Salaried,51114,36376.73,4259.5,3031.39,14737.27,15617
18,11249487915,Dina Al-Zahrani,10/21/92,F,STC,Salaried,36320,25508.13,3026.67,2125.68,10811.87,15083
19,18571048469,Maha Al-Dossary,8/21/85,F,Self-Employed,Self-Employed,62168,46757.57,5180.67,3896.46,15410.43,10526
20,12905854234,Fatimah bint Ibrahim Al-Qahtani,5/24/94,F,Saudi Aramco,Salaried,77911,58111.69,6492.58,4842.64,19799.31,17299
21,12053270061,Talal bin Abdulrahman Al-Rashid,6/25/91,M,Self-Employed,Self-Employed,14999,16402.32,1249.92,1366.86,-1403.32,4355
22,18575225865,Majed bin Hamad Al-Mutairi,5/20/76,M,SABIC,Salaried,5370,5579.37,447.5,464.95,-209.37,8066
23,14435016540,Saud bin Nasser Al-Amri,12/19/80,M,SABIC,Salaried,22353,23003.35,1862.75,1916.95,-650.35,7119
24,11371556183,Ibrahim bin Hamad Al-Mutairi,8/15/95,M,SABIC,Salaried,15735,15044.61,1311.25,1253.72,690.39,7274
25,18747770766,Wafa Al-Zahrani,9/25/89,F,Al Rajhi Bank,Salaried,26994,21912.09,2249.5,1826.01,5081.91,4873
26,18856304862,Khadija Al-Hazzaa,9/5/80,F,Self-Employed,Self-Employed,20999,21298.57,1749.92,1774.88,-299.57,9719
27,19032692441,Faisal bin Saleh Al-Johani,12/5/67,M,SABIC,Salaried,26575,25180.73,2214.58,2098.39,1394.27,6961
28,13256006111,Ziyad bin Abdulrahman Al-Shehri,12/3/56,M,SABIC,Salaried,29063,24724.85,2421.92,2060.4,4338.15,4517
29,14961306338,Hessa bint Khalid Al-Hazzaa,5/23/84,F,SABIC,Salaried,27440,23984.24,2286.67,1998.69,3455.76,8792
30,16723796301,Bader bin Abdulaziz Al-Amri,11/3/67,M,STC,Salaried,29204,24306.64,2433.67,2025.55,4897.36,5412
