,CustomerID,FullName,DateOfBirth,Gender,Employer,EmploymentType,TotalInflows,TotalOutflows,AverageMonthlyInflows,AverageMonthlyOutflows,NetPosition,MonthlySalaryDeducted,JudiciaryCaseCount,JudiciaryCaseFlag,JudiciaryCaseDetails,TravelBan,LegalRestrictions
0,1001101,Rima Al-Saud,28-Oct-76,Female,Al Rajhi Bank,Salaried,82347,65662.16,6862.25,5471.85,16684.84,29325,0,False,Not Applicable,False,Not Applicable
1,1001102,Rima bint Hamad Al-Qahtani,3-Mar-67,Female,SABIC,Salaried,106547,64884.6,8878.92,5407.05,41662.4,20102,2,True,"ENF-2024-13890, Debt Enforcement, SAR 40740",False,Enforcement Order
2,1001103,Rima Al-Najem,14-Sep-88,Female,Bank AlJazira,Salaried,128079,95728.96,10673.25,7977.41,32350.04,32600,1,True,"ENF-2024-90038, Debt Enforcement, SAR 31777",False,Enforcement Order
3,1001104,Fatimah Al-Amri,12-Mar-84,Female,SABIC,Salaried,82777,55247.74,6898.08,4603.98,27529.26,22585,0,False,Not Applicable,False,Not Applicable
4,1001105,Nawal Al-Otaibi,11-Mar-62,Female,SABIC,Salaried,122183,95028.01,10181.92,7919.0,27154.99,37982,0,False,Not Applicable,False,Not Applicable
5,1001106,Nora bint Nasser Al-Mutairi,25-Jun-62,Female,Al Rajhi Bank,Salaried,138184,83585.5,11515.33,6965.46,54598.5,39917,0,False,Not Applicable,False,Not Applicable
6,1001107,Suad Al-Shammari,6-Oct-80,Female,Saudi Aramco,Salaried,92351,61813.79,7695.92,5151.15,30537.21,32519,0,False,Not Applicable,False,Not Applicable
7,1001108,Nawal Al-Mutairi,21-Jul-64,Female,Bank AlJazira,Salaried,133658,81929.22,11138.17,6827.43,51728.78,22804,1,True,"ENF-2024-20627, Debt Enforcement, SAR 18792",False,Enforcement Order
8,1001109,Khalil bin Majed Al-Saleh,27-Jul-77,Male,Self-Employed,Self-Employed,124151,89872.15,10345.92,7489.35,34278.85,27442,0,False,Not Applicable,False,Not Applicable
9,1001110,Ahmed bin Saleh Al-Harthy,14-Jul-78,Male,STC,Salaried,129936,96323.97,10828.0,8027.0,33612.03,33520,1,True,"ENF-2024-83969, Debt Enforcement, SAR 21016",False,Enforcement Order
10,1001111,Razan bint Majed Al-Harbi,21-Apr-95,Female,SABIC,Salaried,49320,35211.31,4110.0,2934.28,14108.69,10432,0,False,Not Applicable,False,Not Applicable
